 Óbitos por causas externas - Bahia;;;;;
Óbitos por Ocorrência por Município-BA e Grande Grupo CID10;;;;;
Grande Grupo CID10: X60-X84 Lesões autoprovocadas voluntariamente;;;;;
Período:2022;;;;;
Município-BA;CÓDITO DO TI;NOME DO TERRITÓRIO DE IDENTIDADE;Suicídios Geral 0 2022;Suicidios PAF 0 2022;% Suicídios 2022
290900 Cordeiros;20;Sudoeste Baiano;0;0;#DIV/0!
291040 Encruzilhada;20;Sudoeste Baiano;2;0;0,0%
291165 Guajeru;20;Sudoeste Baiano;0;0;#DIV/0!
291740 Jacaraci;20;Sudoeste Baiano;0;0;#DIV/0!
291940 Licínio de Almeida;20;Sudoeste Baiano;2;0;0,0%
291995 Maetinga;20;Sudoeste Baiano;2;0;0,0%
292145 Mirante;20;Sudoeste Baiano;1;0;0,0%
292180 Mortugaba;20;Sudoeste Baiano;0;0;#DIV/0!
292470 Piripá;20;Sudoeste Baiano;0;0;#DIV/0!
292500 Planalto;20;Sudoeste Baiano;0;0;#DIV/0!
292510 Poções;20;Sudoeste Baiano;0;0;#DIV/0!
292570 Presidente Jânio Quadros;20;Sudoeste Baiano;0;0;#DIV/0!
292665 Ribeirão do Largo;20;Sudoeste Baiano;0;0;#DIV/0!
293180 Tremedal;20;Sudoeste Baiano;1;0;0,0%
293330 Vitória da Conquista;20;Sudoeste Baiano;20;2;10,0%
TOTAL TI;20;Sudoeste Baiano;35;3;8,6%
290485 Cabaceiras do Paraguaçu;21;Recôncavo;1;0;0,0%
290490 Cachoeira;21;Recôncavo;0;0;#DIV/0!
290730 Castro Alves;21;Recôncavo;1;1;100,0%
290830 Conceição do Almeida;21;Recôncavo;1;0;0,0%
290980 Cruz das Almas;21;Recôncavo;6;0;0,0%
291020 Dom Macedo Costa;21;Recôncavo;0;0;#DIV/0!
291160 Governador Mangabeira;21;Recôncavo;3;0;0,0%
292060 Maragogipe;21;Recôncavo;2;0;0,0%
292220 Muniz Ferreira;21;Recôncavo;0;0;#DIV/0!
292230 Muritiba;21;Recôncavo;3;0;0,0%
292250 Nazaré;21;Recôncavo;3;0;0,0%
292730 Salinas da Margarida;21;Recôncavo;0;0;#DIV/0!
292860 Santo Amaro;21;Recôncavo;0;0;#DIV/0!
292870 Santo Antônio de Jesus;21;Recôncavo;9;0;0,0%
292910 São Felipe;21;Recôncavo;3;0;0,0%
292900 São Félix;21;Recôncavo;0;0;#DIV/0!
292960 Sapeaçu;21;Recôncavo;4;0;0,0%
292975 Saubara;21;Recôncavo;0;0;#DIV/0!
293317 Varzedo;21;Recôncavo;0;0;#DIV/0!
TOTAL TI;21;Recôncavo;36;1;2,8%
290060 Aiquara;22;Médio Rio de Contas;2;0;0,0%
290195 Apuarema;22;Médio Rio de Contas;1;0;0,0%
290310 Barra do Rocha;22;Médio Rio de Contas;0;0;#DIV/0!
290370 Boa Nova;22;Médio Rio de Contas;2;1;50,0%
291000 Dário Meira;22;Médio Rio de Contas;0;0;#DIV/0!
291150 Gongogi;22;Médio Rio de Contas;0;0;#DIV/0!
291290 Ibirataia;22;Médio Rio de Contas;2;0;0,0%
291390 Ipiaú;22;Médio Rio de Contas;1;0;0,0%
291510 Itagi;22;Médio Rio de Contas;1;0;0,0%
291520 Itagibá;22;Médio Rio de Contas;0;0;#DIV/0!
291570 Itamari;22;Médio Rio de Contas;0;0;#DIV/0!
291800 Jequié;22;Médio Rio de Contas;5;0;0,0%
291830 Jitaúna;22;Médio Rio de Contas;0;0;#DIV/0!
292040 Manoel Vitorino;22;Médio Rio de Contas;0;0;#DIV/0!
292275 Nova Ibiá;22;Médio Rio de Contas;0;0;#DIV/0!
293230 Ubatã;22;Médio Rio de Contas;0;1;#DIV/0!
TOTAL TI;22;Médio Rio de Contas;14;2;14,3%
290440 Brejolândia;23;Bacia do Rio Corrente;1;0;0,0%
290610 Canápolis;23;Bacia do Rio Corrente;0;0;#DIV/0!
290810 Cocos;23;Bacia do Rio Corrente;2;0;0,0%
290910 Coribe;23;Bacia do Rio Corrente;2;0;0,0%
290930 Correntina;23;Bacia do Rio Corrente;3;0;0,0%
